instrument,rsi_period,threshold,exit,stop,n_trades,win_rate,expectancy_pct,profit_factor,max_dd_pct,tim_pct,ann_ret_pct,ann_over_tim
^GSPC,4,10,RSI>65,2xATR,85,64.70588235294117,0.5009563956872142,1.5761475807435117,-34.32757454428994,3.3353632828968944,0.46087898090643176,13.817954501979774
^GSPC,4,10,time3d,nostop,91,47.25274725274725,0.15862599413661485,1.2885466702724744,-20.736834719490606,1.705157633391109,0.15093814380877646,8.851858670016348
^GSPC,4,10,time3d,2xATR,92,47.82608695652174,0.1572833408517652,1.2886730061139824,-21.89359397266264,1.7004731343982762,0.15114252782459925,8.888263199646612
^GSPC,4,15,close>5SMA,nostop,205,59.512195121951216,0.06325450473797321,1.0873174563069739,-52.02391988128661,5.204478381037148,0.09069624796933518,1.7426577906403222
^GSPC,4,15,close>5SMA,2xATR,217,56.68202764976959,-0.010951094347832908,0.985571422325857,-52.412281562467264,4.492434534126575,-0.08562826904420229,-1.906054910622092
^GSPC,4,15,RSI>65,nostop,195,70.25641025641025,0.6917852441451106,1.9504525979365979,-41.31772666133138,9.818709888977374,1.4844584691476648,15.118671250427099
^GSPC,4,15,RSI>65,2xATR,212,62.264150943396224,0.3722096625046775,1.3931596399530966,-51.73913649427653,7.560781374432005,0.8261887513356436,10.92729323095538
^GSPC,4,15,time3d,nostop,233,43.34763948497854,0.04990337912331522,1.0730175889178577,-39.266985923834,4.365953061320091,0.08178460753915928,1.8732360698910229
^GSPC,4,15,time3d,2xATR,237,43.459915611814345,0.0490592388635403,1.072832131013584,-37.23441949215254,4.32847706937743,0.0822571140884687,1.9003707948555641
^GSPC,4,20,close>5SMA,nostop,352,55.96590909090909,-0.09441791367744083,0.8655521601292555,-64.46202242518906,8.525788166955545,-0.4815274208276432,-5.647893325498735
^GSPC,4,20,close>5SMA,2xATR,381,53.54330708661418,-0.13686836128584645,0.8135318230550929,-63.32272513075448,7.490513889539514,-0.6926218995994105,-9.246653965446287
^GSPC,4,20,RSI>65,nostop,300,68.33333333333333,0.3369679696692465,1.3930357149554278,-53.28120825932595,15.632173139082775,1.0139196455757116,6.486108083339741
^GSPC,4,20,RSI>65,2xATR,351,58.97435897435898,0.12130841456086329,1.1222428619397118,-58.578264256580724,11.907996439780765,0.36664623114215367,3.07899177662925
^GSPC,4,20,time3d,nostop,407,45.7002457002457,-0.1242325928809682,0.8314676144520426,-67.27625262883683,7.616995362345998,-0.6848060216761653,-8.990500704010516
^GSPC,4,20,time3d,2xATR,420,45.0,-0.10929554705976917,0.8475974901985054,-62.810487956685066,7.560781374432005,-0.6206091899274679,-8.208267891810197
^GSPC,4,30,close>5SMA,nostop,704,56.39204545454546,-0.20949712946911242,0.7123282452108025,-87.14716751202793,16.667447416498806,-1.9188561709923335,-11.51259771842983
^GSPC,4,30,close>5SMA,2xATR,806,56.575682382134,-0.13572293297983087,0.7962993757553918,-82.08486077217219,15.196514732749334,-1.4211544799830111,-9.351844847163175
^GSPC,4,30,RSI>65,nostop,527,67.74193548387096,0.16915016819081388,1.2021296630431846,-68.52549507290324,25.8303274464796,0.7734089456135074,2.99418947443082
^GSPC,4,30,RSI>65,2xATR,669,60.38863976083707,0.10065397105178177,1.1112105978949955,-64.65204448569085,20.94907949594791,0.5725366686927247,2.7329920095222704
^GSPC,4,30,time3d,nostop,863,46.349942062572424,-0.14574300621202227,0.7981286669494867,-82.78317657063835,16.161521525272875,-1.6503015518997244,-10.211300645914033
^GSPC,4,30,time3d,2xATR,893,45.576707726763715,-0.12574903073560012,0.8212954322929473,-80.93220242902255,16.030355553473555,-1.4792316579747888,-9.227690883339514
^NDX,1,5,close>5SMA,nostop,987,51.16514690982776,-0.24727080419700542,0.668827221384014,-93.24663178423036,52.575669383003486,-9.38519619517033,-17.85083538699433
^NDX,1,5,close>5SMA,2xATR,1072,51.679104477611936,-0.3319549349098577,0.6159587697349775,-97.75649079839587,47.97729918509896,-12.97402394160999,-27.04200561927323
^NDX,1,5,RSI>65,nostop,1123,47.90739091718611,-0.38198539973264106,0.5324278116842392,-98.91048973384086,47.453434225844006,-15.248873484024884,-32.13439392279025
^NDX,1,5,RSI>65,2xATR,1165,48.32618025751073,-0.4276365767209889,0.5098757077596404,-99.45664169828784,45.561699650756694,-17.383716107044034,-38.154230944620444
^NDX,1,5,time3d,nostop,893,48.04031354983203,-0.23704457147053223,0.7754971968991915,-90.93353918665261,51.9790454016298,-8.42674042753444,-16.21180297256906
^NDX,1,5,time3d,2xATR,904,47.45575221238938,-0.305449239104606,0.7246436868457117,-95.20572999184918,51.164144353899886,-10.541549435895625,-20.60339241281989
^NDX,1,10,close>5SMA,nostop,987,51.16514690982776,-0.24727080419700542,0.668827221384014,-93.24663178423036,52.575669383003486,-9.38519619517033,-17.85083538699433
^NDX,1,10,close>5SMA,2xATR,1072,51.679104477611936,-0.3319549349098577,0.6159587697349775,-97.75649079839587,47.97729918509896,-12.97402394160999,-27.04200561927323
^NDX,1,10,RSI>65,nostop,1123,47.90739091718611,-0.38198539973264106,0.5324278116842392,-98.91048973384086,47.453434225844006,-15.248873484024884,-32.13439392279025
^NDX,1,10,RSI>65,2xATR,1165,48.32618025751073,-0.4276365767209889,0.5098757077596404,-99.45664169828784,45.561699650756694,-17.383716107044034,-38.154230944620444
^NDX,1,10,time3d,nostop,893,48.04031354983203,-0.23704457147053223,0.7754971968991915,-90.93353918665261,51.9790454016298,-8.42674042753444,-16.21180297256906
^NDX,1,10,time3d,2xATR,904,47.45575221238938,-0.305449239104606,0.7246436868457117,-95.20572999184918,51.164144353899886,-10.541549435895625,-20.60339241281989
^NDX,1,15,close>5SMA,nostop,987,51.16514690982776,-0.24727080419700542,0.668827221384014,-93.24663178423036,52.575669383003486,-9.38519619517033,-17.85083538699433
^NDX,1,15,close>5SMA,2xATR,1072,51.679104477611936,-0.3319549349098577,0.6159587697349775,-97.75649079839587,47.97729918509896,-12.97402394160999,-27.04200561927323
^NDX,1,15,RSI>65,nostop,1123,47.90739091718611,-0.38198539973264106,0.5324278116842392,-98.91048973384086,47.453434225844006,-15.248873484024884,-32.13439392279025
^NDX,1,15,RSI>65,2xATR,1165,48.32618025751073,-0.4276365767209889,0.5098757077596404,-99.45664169828784,45.561699650756694,-17.383716107044034,-38.154230944620444
^NDX,1,15,time3d,nostop,893,48.04031354983203,-0.23704457147053223,0.7754971968991915,-90.93353918665261,51.9790454016298,-8.42674042753444,-16.21180297256906
^NDX,1,15,time3d,2xATR,904,47.45575221238938,-0.305449239104606,0.7246436868457117,-95.20572999184918,51.164144353899886,-10.541549435895625,-20.60339241281989
^NDX,1,20,close>5SMA,nostop,987,51.16514690982776,-0.24727080419700542,0.668827221384014,-93.24663178423036,52.575669383003486,-9.38519619517033,-17.85083538699433
^NDX,1,20,close>5SMA,2xATR,1072,51.679104477611936,-0.3319549349098577,0.6159587697349775,-97.75649079839587,47.97729918509896,-12.97402394160999,-27.04200561927323
^NDX,1,20,RSI>65,nostop,1123,47.90739091718611,-0.38198539973264106,0.5324278116842392,-98.91048973384086,47.453434225844006,-15.248873484024884,-32.13439392279025
^NDX,1,20,RSI>65,2xATR,1165,48.32618025751073,-0.4276365767209889,0.5098757077596404,-99.45664169828784,45.561699650756694,-17.383716107044034,-38.154230944620444
^NDX,1,20,time3d,nostop,893,48.04031354983203,-0.23704457147053223,0.7754971968991915,-90.93353918665261,51.9790454016298,-8.42674042753444,-16.21180297256906
^NDX,1,20,time3d,2xATR,904,47.45575221238938,-0.305449239104606,0.7246436868457117,-95.20572999184918,51.164144353899886,-10.541549435895625,-20.60339241281989
^NDX,1,30,close>5SMA,nostop,987,51.16514690982776,-0.24727080419700542,0.668827221384014,-93.24663178423036,52.575669383003486,-9.38519619517033,-17.85083538699433
